eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,482,0.00037508225,0.0,1.7913965,-0.0012249068,0.08732858,-0.0035740137100219727,1,128,3.1833161329850554,1536
nan,nan,527,0.00015935375,0.0,1.789965,-0.00037457485,0.07512029,0.002305328845977783,2,256,6.097406771965325,3072
nan,nan,522,0.0005080963,0.0,1.787487,-0.001052599,0.07837931,0.000974118709564209,3,384,9.036073743016459,4608
nan,nan,527,0.0005103793,0.0,1.7857403,-0.00129892,0.08585282,0.0010924935340881348,4,512,11.948537576943636,6144
nan,nan,513,0.00030896856,0.0,1.7891891,-0.0011407562,0.06865617,0.0007811188697814941,5,640,14.938411121023819,7680
nan,nan,519,0.00036857405,0.0,1.7873371,-0.00011886888,0.07150984,0.0033336281776428223,6,768,17.89449956198223,9216
827.4,-20.8,511,0.00012404237,0.0,1.7857089,-3.2475065e-05,0.060381036,0.004973053932189941,7,896,20.898062048945576,10752
892.5,-20.5,492,8.8417146e-05,0.0,1.785919,-0.00019878148,0.053847242,0.011575877666473389,8,1024,24.01797249703668,12288
904.7272727272727,-20.454545454545453,509,0.0002549062,0.0,1.785321,-0.00057648675,0.0490971,0.005080699920654297,9,1152,27.030276124947704,13824
928.9166666666666,-20.25,512,0.00039115915,0.0,1.7804855,-0.000102354286,0.059532896,0.009874701499938965,10,1280,30.02983516396489,15360
928.9166666666666,-20.25,521,0.00047211896,0.012532552,1.7790929,-0.00087120256,0.066961154,0.010899543762207031,11,1408,32.97618419397622,16896
928.9166666666666,-20.25,523,0.0006776999,0.028645836,1.7699889,-0.00080587796,0.06055602,0.01248633861541748,12,1536,35.9125859310152,18432
907.3571428571429,-20.357142857142858,517,0.0007464532,0.020833334,1.7698114,-0.0019803909,0.059626132,0.022692501544952393,13,1664,38.87895916600246,19968
890.4444444444445,-20.5,510,0.0001886246,0.0,1.7620635,0.00045169328,0.05303561,0.02088773250579834,14,1792,41.888268604991026,21504
892.5238095238095,-20.523809523809526,519,0.0004010928,0.0,1.7682867,-0.00042556645,0.06328408,0.017402052879333496,15,1920,44.84723519394174,23040
895.4583333333334,-20.541666666666668,512,0.0002738963,0.0,1.7716448,-0.0002498713,0.055062003,0.022642910480499268,16,2048,47.84758416400291,24576
895.4583333333334,-20.541666666666668,523,0.0011342393,0.09847005,1.7736695,-0.0017325716,0.06286433,0.021559298038482666,17,2176,50.783093000994995,26112
895.4583333333334,-20.541666666666668,527,0.0005639435,0.036621094,1.7777777,-0.0009422709,0.06672253,0.036804020404815674,18,2304,53.69594320899341,27648
893.56,-20.56,508,0.0011180243,0.10546875,1.7726686,-0.003462003,0.048031755,0.08214575052261353,19,2432,56.71893589803949,29184
889.3846153846154,-20.576923076923077,515,0.00041307384,0.0,1.7748157,-0.00016027766,0.056832027,0.0816354751586914,20,2560,59.69724035693798,30720
893.8064516129032,-20.483870967741936,510,0.0005710557,0.03483073,1.7769885,-0.0022313558,0.06540639,0.09239262342453003,21,2688,62.70525582600385,32256
891.9117647058823,-20.441176470588236,511,0.000843037,0.017903646,1.7759523,-0.0016164256,0.046180025,0.07842427492141724,22,2816,65.70593802095391,33792
892.1666666666666,-20.416666666666668,508,0.0008016839,0.006998698,1.7630188,-0.0008472633,0.04327558,0.09267765283584595,23,2944,68.72537185403053,35328
892.1666666666666,-20.416666666666668,517,0.0012812477,0.05680338,1.7491517,-0.0012253987,0.048022665,0.10263454914093018,24,3072,71.69284473196603,36864
892.1666666666666,-20.416666666666668,523,0.0011353417,0.03873698,1.7400379,-0.0012005008,0.043789417,0.16467392444610596,25,3200,74.62933688703924,38400
890.6216216216217,-20.405405405405407,518,0.0013030221,0.028157553,1.7433033,-0.0011190973,0.056278907,0.18154865503311157,26,3328,77.58956494298764,39936
889.2631578947369,-20.42105263157895,509,0.0007296349,0.0390625,1.751225,-0.0011104279,0.036183428,0.2596473693847656,27,3456,80.60750881698914,41472
893.7857142857143,-20.476190476190474,511,0.001251726,0.07584636,1.753686,-0.002424893,0.046675377,0.3318830132484436,28,3584,83.61181041901,43008
895.7045454545455,-20.477272727272727,512,0.0013029347,0.046061195,1.7407491,-0.0016980706,0.04891271,0.3275221586227417,29,3712,86.61116002500057,44544
898.6458333333334,-20.458333333333332,501,0.0008906765,0.055989586,1.7316618,-0.00092505896,0.049346823,0.28548532724380493,30,3840,89.67439873702824,46080
898.6458333333334,-20.458333333333332,529,0.001113066,0.03938802,1.7356623,-0.0007294433,0.029019486,0.42921119928359985,31,3968,92.57340851495974,47616
896.7551020408164,-20.46938775510204,516,0.0012752076,0.080078125,1.719859,-0.0017270657,0.03524468,0.4821988344192505,32,4096,95.54691616992932,49152
894.62,-20.48,515,0.0009140746,0.041992188,1.719417,-0.0012473969,0.041474327,0.4741448760032654,33,4224,98.52784585102927,50688
890.3653846153846,-20.5,509,0.001350897,0.049804688,1.7221622,-0.0018328071,0.050671052,0.42139583826065063,34,4352,101.54029615095351,52224
887.9814814814815,-20.5,515,0.0010690349,0.06933594,1.7238246,-0.0014269009,0.036451828,0.5634271800518036,35,4480,104.51899031200446,53760
887.4464285714286,-20.5,503,0.0009426515,0.003580729,1.7363547,-0.0011352854,0.034942992,0.5948838591575623,36,4608,107.57267741393298,55296
890.7118644067797,-20.491525423728813,514,0.0006077534,0.020019531,1.7481661,-0.0009990046,0.039869085,0.4368399977684021,37,4736,110.56118147994857,56832
894.15,-20.466666666666665,518,0.0016843384,0.10725912,1.7271683,-0.0017906877,0.05017923,0.40004169940948486,38,4864,113.52610425895546,58368
893.2295081967213,-20.459016393442624,518,0.0005415464,0.0068359375,1.7221899,-0.0012027391,0.03514971,0.44028329849243164,39,4992,116.4901798160281,59904
891.1269841269841,-20.46031746031746,508,0.001594778,0.09651692,1.7144526,-0.0019037343,0.02795074,0.656747043132782,40,5120,119.51045263500419,61440
891.1269841269841,-20.46031746031746,522,0.0011095862,0.008300781,1.7140948,-0.00082276267,0.03113185,0.4955180883407593,41,5248,122.45172161899973,62976
891.3731343283582,-20.44776119402985,494,0.0012383158,0.08626302,1.7244878,-0.0022445668,0.042801138,0.6173098981380463,42,5376,125.56140161002986,64512
888.5072463768116,-20.463768115942027,508,0.0005133654,0.004720052,1.7318147,-0.00083229697,0.024904586,0.7709682285785675,43,5504,128.5795252500102,66048
889.3888888888889,-20.458333333333332,516,0.0009546997,0.020182291,1.7312875,-0.001552261,0.036439188,0.63025763630867,44,5632,131.5563317319611,67584
889.3888888888889,-20.458333333333332,510,0.0011121031,0.08024088,1.7360072,-0.00074529555,0.022220563,0.5678103268146515,45,5760,134.56375682796352,69120
888.04,-20.466666666666665,514,0.00108905,0.056477867,1.7377329,-0.0016004957,0.04575653,0.622149258852005,46,5888,137.55202512198593,70656
