# {"t_start": 1579667593.8300915, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,862,19.973032
-21.0,849,40.602009
-20.0,923,61.587986
-21.0,907,82.56792
-21.0,792,100.663301
-20.0,1042,124.766068
-21.0,939,147.966051
-20.0,899,168.781518
-21.0,776,186.647302
-21.0,878,207.522652
-20.0,837,225.857158
-21.0,821,246.188117
-20.0,1139,270.875576
-20.0,838,291.205252
-21.0,907,312.08373
-21.0,843,332.529066
-20.0,895,353.369102
-19.0,1143,377.905533
-21.0,819,398.200742
-19.0,965,419.393168
-19.0,1132,446.065148
-21.0,1018,469.801866
-21.0,913,490.599362
-20.0,953,513.638392
-20.0,962,535.017631
-20.0,841,555.458062
-21.0,1003,579.168978
-20.0,916,600.381916
-20.0,961,621.800726
-21.0,974,645.165329
-17.0,1142,671.826577
-20.0,896,692.880996
-19.0,1215,720.103627
-18.0,1007,743.75258
-20.0,989,767.206522
-20.0,1061,791.1627
-18.0,1292,820.943217
-16.0,1283,850.630974
-18.0,1445,883.60113
-19.0,1562,921.27974
-18.0,1726,960.404589
-18.0,1438,993.086867
-17.0,1586,1031.201088
-15.0,1751,1070.109896
-14.0,1946,1114.640271
-15.0,2057,1164.232055
-18.0,1952,1208.953256
-14.0,2325,1262.176492
-16.0,1798,1303.788587
-20.0,1432,1336.352492
-10.0,2280,1389.514658
-6.0,2532,1448.07514
-8.0,2396,1501.890496
-18.0,1778,1543.381849
-15.0,2034,1590.564235
-15.0,1813,1631.960597
-20.0,1596,1670.108859
-19.0,1814,1711.720152
-15.0,1757,1753.018662
3.0,2875,1818.362222
-19.0,1626,1856.552694
7.0,2789,1919.396261
-15.0,1860,1963.337551
-9.0,2410,2019.271771
-14.0,1767,2060.341989
8.0,2529,2117.493457
-2.0,3170,2191.164196
-12.0,1966,2235.930604
-14.0,2200,2288.214715
-11.0,2476,2344.64559
-10.0,2731,2406.953896
-14.0,2502,2465.515132
-16.0,1988,2510.494061
-16.0,1898,2554.851743
-12.0,2750,2619.796762
7.0,2960,2690.381215
-12.0,2382,2748.040709
-11.0,2838,2818.144392
10.0,3058,2894.166442
-14.0,2317,2951.412964
-11.0,2582,3016.914886
15.0,2857,3087.035265
12.0,2652,3153.447151
13.0,2874,3223.902326
12.0,2806,3293.707931
18.0,2299,3350.728814
15.0,2662,3417.942931
12.0,2956,3490.89871
-7.0,3489,3576.603288
-3.0,3969,3674.830169
19.0,2561,3738.291352
-14.0,2575,3801.725752
7.0,3695,3893.161201
10.0,3616,3982.148712
14.0,3060,4058.246699
4.0,4529,4169.666533
4.0,3873,4266.898187
-4.0,3904,4362.343138
12.0,3297,4444.429904
-7.0,3724,4536.219569
16.0,2956,4609.353736
11.0,3392,4693.914629
-1.0,4710,4808.959116
17.0,2806,4878.774856
6.0,4599,4992.802508
13.0,3519,5080.911022
11.0,3593,5169.580384
14.0,2862,5239.496748
15.0,3391,5322.398812
20.0,2398,5382.135772
18.0,2437,5442.726859
12.0,3986,5540.933365
12.0,3668,5632.591179
13.0,3589,5721.421016
19.0,2469,5782.146442
17.0,2937,5854.868685
16.0,2937,5927.74853
17.0,3238,6007.020898
8.0,4269,6114.089875
12.0,3647,6202.879549
12.0,3768,6297.050234
20.0,2692,6363.652652
18.0,3428,6446.880427
15.0,3564,6535.539582
19.0,3188,6614.577157
18.0,3123,6693.136593
20.0,2468,6753.4374
20.0,2317,6810.622093
19.0,3297,6892.483576
18.0,2698,6958.818759
19.0,3304,7038.597183
19.0,3269,7120.51964
19.0,2725,7187.138884
20.0,2398,7247.169837
11.0,3826,7341.86097
18.0,2549,7404.895427
20.0,2621,7469.017204
