# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.5945988} 
r,l,t
18.0,3201,14524.329234
16.0,3407,14603.872
19.0,3150,14675.100576
21.0,3056,14745.849591
19.0,2820,14810.729003
20.0,2625,14872.080643
21.0,2958,14940.205958
20.0,3011,15008.617489
20.0,3036,15079.170747
21.0,2578,15138.515331
20.0,2517,15197.217702
17.0,3190,15271.196999
21.0,2289,15324.36912
21.0,2292,15377.328172
21.0,2579,15436.936824
21.0,2579,15496.183985
21.0,2572,15555.287434
21.0,3058,15626.48639
19.0,2414,15682.62409
21.0,2288,15732.468385
21.0,2288,15777.575801
19.0,3175,15842.890784
21.0,2573,15895.334621
21.0,2585,15947.416214
21.0,2979,16009.729293
21.0,2953,16069.912724
21.0,3041,16130.336131
21.0,3061,16193.029518
21.0,3012,16255.385744
20.0,2321,16302.363292
21.0,2574,16354.845434
21.0,2289,16401.713067
21.0,3100,16464.731902
21.0,2288,16511.675986
19.0,2402,16561.171433
19.0,2733,16616.554535
21.0,2290,16663.51573
20.0,2686,16718.320411
21.0,2577,16770.689479
21.0,2287,16817.607404
19.0,3102,16880.297077
20.0,2580,16932.766678
21.0,3015,16995.051891
21.0,2958,17055.220821
21.0,2346,17102.350518
21.0,3057,17164.894998
20.0,2010,17206.456581
18.0,1794,17243.214282
14.0,2887,17301.310885
21.0,1875,17340.242389
19.0,2129,17384.505331
18.0,2104,17426.62132
21.0,1925,17465.786366
19.0,1882,17504.783831
21.0,1697,17539.067194
15.0,2394,17588.608797
17.0,2026,17628.555857
21.0,1691,17664.738418
13.0,2496,17714.782035
21.0,1672,17748.740819
21.0,1670,17782.672954
21.0,1786,17819.445081
21.0,1783,17856.029009
21.0,1667,17890.088852
21.0,1694,17924.40188
21.0,1783,17960.928095
19.0,1776,17997.510588
21.0,1697,18031.70154
21.0,1668,18065.647871
19.0,1982,18107.002044
21.0,1789,18143.608349
20.0,1750,18177.986431
21.0,1693,18213.961264
20.0,1665,18248.034424
21.0,1715,18282.443771
21.0,1692,18316.629119
20.0,1970,18357.963777
17.0,1904,18395.077562
15.0,2153,18439.512254
13.0,2381,18488.915581
21.0,1691,18523.020939
21.0,1667,18556.955454
20.0,1900,18596.089308
21.0,1696,18630.166408
21.0,1690,18664.214051
21.0,1697,18700.244457
21.0,1696,18734.36679
21.0,1692,18768.599782
21.0,1784,18805.224742
20.0,1743,18839.528398
20.0,1809,18878.010277
21.0,1674,18911.99449
21.0,1651,18945.754409
21.0,1650,18977.756152
21.0,1655,19011.756943
21.0,1721,19047.94519
20.0,1708,19082.029321
21.0,1673,19115.996843
21.0,1655,19149.768889
20.0,1706,19184.005216
21.0,1653,19217.638437
19.0,1789,19254.177843
21.0,1674,19288.16619
21.0,1655,19322.328076
21.0,1674,19356.437806
21.0,1652,19390.378941
21.0,1669,19424.341083
21.0,1674,19458.333702
20.0,1726,19494.427569
18.0,2124,19536.792884
21.0,1671,19570.94692
21.0,1669,19604.903309
20.0,1704,19641.03916
21.0,1669,19675.193698
21.0,1653,19709.145794
21.0,1667,19743.220442
21.0,1654,19775.340947
20.0,1666,19809.45427
21.0,1672,19845.208213
21.0,1671,19879.108063
21.0,1649,19911.292453
21.0,1670,19945.428144
21.0,1672,19981.290024
21.0,1670,20015.182912
20.0,1883,20052.27019
20.0,1721,20088.444829
20.0,1701,20122.691149
21.0,1652,20156.618347
21.0,1669,20190.580978
20.0,1724,20225.046222
21.0,1671,20258.97295
19.0,1784,20295.47226
21.0,1670,20329.528251
21.0,1653,20363.55233
17.0,1944,20403.008572
13.0,2066,20444.890818
21.0,1673,20480.724453
21.0,1648,20512.677672
19.0,1819,20551.046301
20.0,2004,20590.793066
20.0,1742,20627.068142
21.0,1773,20663.506657
