# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.583356} 
r,l,t
-18.0,1195,28.983047
-20.0,837,47.289049
-20.0,894,68.127847
-21.0,820,88.461654
-21.0,824,106.758365
-21.0,973,130.418382
-20.0,839,148.727708
-20.0,991,172.251865
-20.0,929,193.276418
-21.0,849,213.98988
-20.0,835,232.259873
-20.0,839,252.745063
-21.0,1143,279.475538
-21.0,880,300.146591
-21.0,864,318.69629
-21.0,837,339.043464
-20.0,978,362.465698
-20.0,1066,386.52508
-20.0,948,407.67048
-19.0,1051,431.610827
-21.0,825,451.934877
-21.0,846,470.328576
-21.0,848,490.657435
-21.0,912,511.351632
-21.0,862,531.96598
-21.0,852,552.526037
-19.0,1143,577.227234
-20.0,1004,601.205944
-21.0,1003,624.928349
-21.0,988,648.36916
-20.0,865,668.918987
-21.0,818,687.237078
-21.0,791,705.406027
-21.0,961,728.741859
-19.0,1178,755.644323
-18.0,1277,785.189441
-19.0,1197,812.231424
-21.0,973,835.672156
-21.0,1351,865.842842
-15.0,1582,903.722972
-17.0,1341,933.87272
-18.0,1794,975.438869
-18.0,1693,1014.146286
-18.0,1598,1052.118763
-10.0,2288,1105.238992
-15.0,1989,1150.093457
-16.0,1948,1194.912405
-16.0,1931,1239.304898
-20.0,1596,1277.04872
-19.0,1360,1307.367392
-10.0,2287,1360.350948
-5.0,2437,1416.535928
-21.0,1561,1452.041619
-7.0,2613,1513.599767
-15.0,1954,1558.256066
-20.0,1653,1596.600695
-19.0,1626,1634.621208
-8.0,2527,1691.583502
-4.0,2830,1757.04148
2.0,2920,1824.786074
-16.0,1802,1866.204236
3.0,3135,1939.647147
-15.0,1904,1984.014296
-16.0,1869,2025.848568
-18.0,1550,2061.290252
9.0,2692,2123.633032
9.0,2521,2182.478231
-14.0,2339,2236.057922
-10.0,2551,2294.954369
-17.0,1798,2336.273907
-19.0,1692,2374.949581
6.0,2810,2439.769724
-13.0,2391,2495.727155
-12.0,2505,2554.6497
-11.0,2554,2614.072074
-16.0,2114,2662.497388
11.0,2707,2729.038438
5.0,3642,2820.77869
14.0,2850,2890.808471
-8.0,3144,2967.418741
-15.0,2336,3026.700025
14.0,2673,3093.253701
12.0,3304,3173.446016
-15.0,2185,3227.666207
13.0,2575,3291.324152
17.0,2447,3353.88251
14.0,2753,3421.772074
-10.0,2727,3488.570819
-9.0,2846,3560.527906
13.0,2759,3627.674672
19.0,2497,3690.605313
-8.0,3431,3773.867061
-5.0,4029,3874.580194
4.0,4045,3973.193583
6.0,4132,4077.322346
-2.0,4180,4179.384705
20.0,2321,4236.341279
18.0,2389,4295.985431
16.0,2716,4362.802056
17.0,2432,4422.856301
-5.0,4104,4524.218223
18.0,2506,4587.210896
-3.0,4585,4700.630828
13.0,3275,4780.55422
19.0,2398,4840.698422
11.0,3791,4935.439129
14.0,3574,5024.112336
15.0,2559,5087.467696
15.0,3058,5161.083029
18.0,2742,5230.127064
9.0,3676,5319.498444
14.0,3225,5400.99773
21.0,2283,5456.042396
5.0,4737,5572.745729
15.0,3286,5655.145715
8.0,4420,5765.800452
9.0,3672,5855.252881
15.0,3207,5934.559569
13.0,3276,6016.313466
12.0,3451,6101.662081
11.0,3719,6193.403482
16.0,2821,6262.832444
16.0,3539,6351.073702
20.0,2261,6405.699404
19.0,2622,6471.921895
18.0,3548,6558.026898
16.0,3661,6649.485764
17.0,3182,6728.437933
17.0,3539,6814.589438
19.0,2577,6880.214543
18.0,3357,6962.328692
17.0,2657,7028.477852
21.0,2711,7095.263682
21.0,3085,7171.072703
19.0,3161,7247.877454
16.0,3311,7329.814736
14.0,3562,7418.2262
21.0,2351,7475.809824
19.0,2437,7538.066032
17.0,3463,7623.658068
19.0,2458,7684.012678
20.0,3094,7760.182506
15.0,3700,7851.243767
19.0,2884,7920.342083
20.0,2739,7985.046274
18.0,3268,8062.780221
17.0,2462,8120.137763
19.0,2991,8193.85445
17.0,3113,8270.360979
19.0,2809,8340.40853
21.0,3143,8419.272264
17.0,3037,8493.163303
20.0,3100,8569.15814
20.0,3159,8642.855034
18.0,2761,8708.191458
20.0,2321,8765.591133
17.0,3489,8851.663234
20.0,2441,8911.839022
