# {"t_start": 1579667593.7139978, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,877,20.201994
-21.0,997,43.974448
-20.0,833,64.314475
-20.0,1049,88.416874
-20.0,925,109.529866
-21.0,805,127.800481
-21.0,792,145.779713
-21.0,824,166.064756
-20.0,1045,189.983642
-21.0,908,211.082232
-20.0,1051,235.03806
-21.0,818,255.353358
-21.0,839,273.749203
-21.0,821,293.973698
-21.0,897,314.793173
-19.0,1052,338.791369
-21.0,886,359.499594
-21.0,972,380.794048
-21.0,854,401.339445
-21.0,979,424.729163
-19.0,992,446.260135
-20.0,898,467.123754
-21.0,879,487.672716
-20.0,1002,511.014686
-20.0,1002,534.698444
-21.0,1027,558.569561
-20.0,1043,582.581726
-21.0,959,604.166889
-20.0,895,625.03879
-21.0,841,645.396658
-19.0,990,668.888744
-20.0,1013,692.83564
-17.0,1162,719.695548
-20.0,915,740.606954
-20.0,1036,764.470058
-16.0,1216,791.549749
-21.0,958,814.808845
-20.0,1047,838.779376
-19.0,1309,868.63568
-16.0,1808,910.196362
-15.0,1796,951.94622
-18.0,1611,989.893646
-18.0,1224,1017.197102
-16.0,1855,1061.037069
-14.0,1793,1102.423033
-14.0,2149,1152.507969
-20.0,1744,1191.804663
-15.0,2009,1238.797372
-18.0,1655,1276.982727
-9.0,2536,1336.0287
-16.0,1922,1380.530087
-5.0,2696,1442.300191
-8.0,2448,1498.531221
-15.0,1805,1540.229714
-5.0,2540,1599.120377
-17.0,1740,1637.941652
-20.0,1445,1673.00553
-5.0,2686,1735.249623
-1.0,2917,1801.00656
3.0,2815,1865.968398
-16.0,1746,1907.201169
-15.0,2017,1954.182754
9.0,2614,2013.686546
1.0,3109,2085.049761
-13.0,2334,2140.522565
-18.0,1590,2176.263643
-14.0,2036,2223.679481
-15.0,1841,2265.312574
7.0,2903,2332.799114
2.0,3331,2409.647776
7.0,2908,2477.346809
6.0,3126,2548.902439
6.0,3297,2625.955051
-13.0,2346,2681.199057
-15.0,2212,2735.390564
-9.0,2948,2808.528806
-10.0,2723,2877.766618
-15.0,2296,2932.513048
13.0,2759,3001.641497
16.0,2740,3068.573439
-14.0,2261,3125.422522
12.0,2924,3198.468992
-13.0,2496,3259.305347
16.0,2707,3328.327791
16.0,2513,3389.589751
-11.0,2683,3456.384924
20.0,2464,3516.819904
17.0,2420,3576.958131
11.0,2981,3650.280032
15.0,2763,3719.548474
-9.0,3339,3801.907773
19.0,2391,3861.714424
3.0,4286,3966.457246
18.0,2549,4029.818355
2.0,4609,4144.067445
15.0,2644,4210.354686
16.0,2663,4276.390271
-6.0,3589,4365.133495
-2.0,4600,4479.093039
-1.0,4849,4597.097487
18.0,2531,4659.767584
2.0,4776,4777.355493
6.0,4156,4881.768391
16.0,2549,4945.047826
10.0,3453,5030.633751
14.0,2993,5103.746407
12.0,3624,5192.53528
10.0,3994,5293.179911
15.0,3081,5369.004546
12.0,3547,5455.766173
18.0,2558,5519.125634
11.0,3599,5607.462626
15.0,3268,5689.819387
15.0,3483,5775.735108
2.0,5168,5902.825716
14.0,3435,5987.964824
12.0,3520,6076.163797
18.0,2569,6139.678644
21.0,2289,6196.236751
20.0,2259,6250.464738
10.0,3722,6342.284599
18.0,2525,6405.445301
19.0,2842,6475.55582
16.0,3093,6551.611601
20.0,3252,6633.410006
19.0,3254,6712.873117
19.0,2352,6772.383731
16.0,2962,6845.461669
17.0,3011,6918.528254
20.0,2339,6977.690189
19.0,3259,7057.167675
19.0,2922,7129.85684
18.0,3214,7209.232891
18.0,3015,7282.404865
19.0,2932,7355.041804
18.0,2413,7414.892434
19.0,3147,7493.961602
20.0,2660,7557.848526
19.0,3128,7636.578367
19.0,2919,7709.414118
20.0,2398,7766.787125
16.0,3901,7863.756371
19.0,2372,7920.286318
21.0,2959,7988.578539
20.0,2642,8053.122532
21.0,3060,8125.536079
18.0,2577,8187.689909
13.0,3894,8285.634497
17.0,3469,8371.613584
19.0,2912,8442.05826
17.0,2830,8512.325747
18.0,3168,8589.490712
21.0,2573,8648.814006
19.0,2771,8714.614645
17.0,2673,8781.485141
21.0,3015,8854.976563
19.0,3028,8930.454083
20.0,2281,8987.183872
19.0,3147,9063.812431
21.0,3011,9139.687773
20.0,2693,9206.534473
20.0,2571,9270.11899
20.0,3200,9349.131608
19.0,2631,9413.431979
20.0,2630,9479.688011
21.0,2998,9553.21028
21.0,3088,9629.014065
20.0,2576,9694.545459
18.0,2679,9758.793665
19.0,3212,9840.36333
21.0,2998,9913.777263
20.0,2603,9977.206702
20.0,2591,10042.760531
17.0,3087,10119.01085
17.0,2742,10185.94944
21.0,2574,10249.3499
20.0,2316,10306.486123
19.0,3141,10383.079288
21.0,2955,10450.345064
20.0,2281,10503.182411
20.0,2614,10562.707655
21.0,3059,10633.141706
21.0,3061,10703.916874
18.0,2656,10765.459835
20.0,3124,10836.792104
20.0,2934,10904.333604
17.0,3311,10979.39196
21.0,3058,11048.220743
19.0,3185,11119.903103
19.0,3050,11190.399454
20.0,2925,11258.176401
19.0,2461,11314.355662
18.0,3330,11391.164272
21.0,2575,11450.067325
21.0,2959,11518.025833
21.0,2576,11579.179501
21.0,2574,11638.416108
21.0,3010,11706.785407
21.0,2575,11765.848476
19.0,2986,11836.009202
21.0,2289,11886.984386
21.0,2351,11942.48392
20.0,2687,12004.393889
20.0,2328,12057.465271
18.0,2839,12122.789265
21.0,3160,12196.374691
17.0,3339,12273.133789
21.0,3013,12341.561083
20.0,2340,12397.039572
21.0,2348,12450.51926
19.0,2947,12518.502654
21.0,3058,12589.103765
19.0,3248,12663.110041
18.0,3556,12745.350666
20.0,2815,12810.358663
21.0,3164,12884.023168
21.0,2574,12943.021081
21.0,3014,13011.308898
21.0,3058,13082.120743
21.0,3098,13153.131225
18.0,2599,13214.497974
21.0,3053,13283.066805
21.0,2581,13344.631749
21.0,3056,13413.253934
21.0,2574,13474.45839
17.0,3431,13552.234735
21.0,2578,13611.546675
20.0,2513,13670.221187
18.0,2586,13729.429328
18.0,2673,13791.595667
21.0,3057,13862.392781
21.0,2574,13921.63304
19.0,2752,13986.020192
19.0,2532,14042.986526
20.0,3022,14113.535646
21.0,3061,14184.409945
20.0,2554,14243.554475
19.0,2730,14305.956674
19.0,2349,14359.220746
20.0,3074,14429.959937
19.0,2444,14488.049777
21.0,3059,14556.833909
18.0,3175,14630.570784
17.0,2851,14695.519445
17.0,3238,14771.770968
19.0,3068,14842.341767
19.0,2310,14895.395276
19.0,3133,14966.870905
20.0,3014,15037.431885
19.0,2395,15091.113538
21.0,2563,15150.322458
18.0,2307,15203.587057
18.0,3331,15280.561337
19.0,3145,15354.05549
18.0,2697,15416.292319
20.0,2593,15475.851617
21.0,2579,15534.876428
21.0,2573,15596.296706
21.0,2576,15655.777588
21.0,3160,15725.076139
21.0,2955,15785.307719
21.0,2953,15845.611237
21.0,2291,15892.597164
20.0,2752,15949.429078
21.0,2572,16001.784935
19.0,2881,16059.873374
21.0,3057,16122.209986
21.0,2955,16182.301121
21.0,2960,16242.562597
21.0,2579,16296.612506
21.0,3055,16357.541867
21.0,3060,16420.105671
20.0,2286,16467.219227
8.0,3780,16545.284248
20.0,3082,16608.188638
21.0,2288,16655.19141
21.0,3015,16715.646572
20.0,2281,16762.55879
21.0,2572,16814.907613
21.0,2953,16874.858431
19.0,2630,16929.499907
21.0,2573,16981.77635
21.0,2959,17041.803651
21.0,2956,17101.916387
20.0,2689,17156.788128
21.0,1697,17190.896894
21.0,1694,17225.216006
20.0,1770,17261.749558
21.0,1690,17295.944655
19.0,2170,17340.329108
21.0,1886,17379.434594
18.0,1982,17418.898697
20.0,1853,17457.723443
9.0,2984,17518.223943
20.0,1985,17559.695057
21.0,1694,17593.889881
20.0,1842,17630.926405
21.0,1694,17665.24913
21.0,1692,17701.291153
14.0,2328,17748.371228
21.0,1785,17784.84002
21.0,1691,17819.184308
20.0,1889,17858.283666
21.0,1694,17892.46134
21.0,1649,17926.574947
19.0,1911,17965.687115
20.0,1707,18000.006454
21.0,1669,18034.00205
21.0,1667,18067.962425
20.0,1783,18104.427735
20.0,1782,18140.973529
16.0,2000,18180.542715
21.0,1693,18216.520468
20.0,1724,18251.026111
21.0,1670,18285.160268
21.0,1696,18319.296762
21.0,1786,18355.790108
10.0,2562,18408.050698
21.0,1696,18444.180465
20.0,1764,18478.761021
21.0,1694,18514.751939
20.0,1787,18551.227607
21.0,1668,18585.304522
21.0,1697,18619.369202
20.0,1749,18653.808779
20.0,1767,18690.088655
18.0,2176,18734.611418
14.0,2000,18776.291121
19.0,1898,18815.409822
19.0,1977,18854.763708
21.0,1654,18888.577385
21.0,1845,18925.442756
21.0,1651,18959.213878
21.0,1650,18992.992604
21.0,1671,19027.292617
21.0,1648,19061.095181
21.0,1675,19094.966567
21.0,1668,19128.839293
21.0,1672,19162.849023
20.0,1722,19198.875476
21.0,1672,19232.712075
21.0,1673,19266.682096
21.0,1673,19300.690369
21.0,1668,19335.06211
21.0,1648,19368.982885
21.0,1670,19402.966875
