# {"t_start": 1579667593.657561, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,1027,25.595161
-20.0,836,43.942654
-21.0,821,62.144202
-20.0,930,85.3406
-20.0,922,106.416481
-21.0,779,124.446045
-20.0,1002,148.172101
-19.0,997,171.726155
-21.0,847,190.149371
-20.0,855,210.834177
-20.0,915,231.790159
-21.0,821,250.065327
-21.0,787,268.060513
-20.0,894,288.838891
-21.0,969,312.185389
-20.0,1078,336.374506
-19.0,1088,362.70486
-21.0,763,380.432374
-21.0,819,398.683478
-21.0,786,416.561946
-21.0,863,437.13362
-20.0,1010,460.864441
-21.0,847,481.243566
-20.0,831,499.375477
-21.0,764,516.968278
-21.0,908,538.082771
-20.0,956,559.261265
-21.0,818,579.603093
-20.0,998,603.515021
-20.0,926,624.605611
-21.0,864,645.127439
-20.0,865,663.692342
-21.0,819,683.966127
-21.0,851,702.613297
-20.0,902,723.463029
-20.0,1078,749.622752
-21.0,938,770.682467
-18.0,1197,797.598294
-16.0,1241,827.129878
-17.0,1415,859.748065
-21.0,1446,892.648795
-17.0,1699,933.474424
-17.0,2008,978.619342
-18.0,1441,1013.46594
-17.0,1827,1055.177731
-15.0,1952,1099.759974
-19.0,1886,1143.836971
-12.0,2058,1191.51102
-19.0,1786,1232.877305
-16.0,1864,1274.520999
-18.0,1566,1312.507481
-12.0,2104,1360.053992
-5.0,2614,1419.535039
-16.0,1694,1460.114904
-19.0,1457,1492.85732
-21.0,1489,1528.071354
-10.0,2310,1581.447602
-1.0,2764,1643.925474
-15.0,1862,1687.914351
-3.0,2847,1753.549168
-4.0,2938,1821.414961
4.0,2912,1889.180845
-16.0,1885,1931.204896
4.0,2855,1998.634949
4.0,2798,2061.332007
-17.0,1767,2102.836728
-3.0,3147,2176.221374
3.0,3124,2247.764715
6.0,2973,2315.700979
-12.0,2501,2374.435144
9.0,2941,2442.237796
-15.0,2423,2498.430153
-10.0,2729,2560.968485
-2.0,3871,2650.924017
11.0,3058,2725.831092
-14.0,2360,2785.744761
-12.0,2799,2855.539438
-12.0,2595,2919.135049
10.0,3490,3004.86317
11.0,2970,3078.008904
-15.0,2199,3132.173923
16.0,2607,3198.34952
14.0,2763,3265.646119
-12.0,2590,3331.586831
