# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.6216404} 
r,l,t
-21.0,788,19.628834
-21.0,779,37.718385
-21.0,848,56.111583
-20.0,835,76.532364
-21.0,806,94.713968
-20.0,838,115.265405
-21.0,948,136.651417
-20.0,928,157.606356
-21.0,787,175.53532
-21.0,839,195.950638
-21.0,873,216.809911
-21.0,881,237.583863
-20.0,838,255.913669
-21.0,884,276.661066
-21.0,776,294.538022
-21.0,937,315.622752
-19.0,1060,341.755887
-21.0,853,360.155542
-21.0,819,380.343455
-20.0,834,398.703273
-20.0,989,422.127126
-20.0,964,443.49832
-20.0,974,466.948706
-21.0,896,487.608146
-20.0,1109,513.775097
-21.0,822,532.068887
-21.0,1001,555.753729
-20.0,1026,579.619009
-21.0,909,600.806728
-21.0,885,621.658907
-21.0,778,639.469066
-20.0,973,660.861992
-19.0,1191,690.030033
-20.0,921,711.187132
-19.0,1001,734.764874
-20.0,917,755.73451
-18.0,1078,779.745862
-19.0,1087,805.971526
-19.0,1246,833.43508
-20.0,1226,862.730186
-19.0,1171,889.555047
-14.0,1690,928.115059
-18.0,1725,969.304889
-20.0,1154,995.871248
-18.0,1490,1029.217847
-17.0,1873,1073.071223
-15.0,2016,1120.153961
-18.0,1823,1161.912937
-16.0,1763,1203.337287
-18.0,1985,1248.061088
-15.0,2039,1295.288967
-19.0,1419,1327.898668
-7.0,2469,1386.449455
-4.0,2653,1445.865565
-18.0,1888,1489.885501
-17.0,1773,1531.259509
-19.0,1610,1567.394645
-5.0,2669,1629.17494
-2.0,2842,1694.488988
-18.0,1574,1732.563693
-19.0,1619,1768.707471
-17.0,1721,1809.491952
-14.0,2157,1859.61043
-19.0,1374,1889.855452
-12.0,2384,1945.680156
-12.0,2423,2001.791053
-13.0,2093,2049.253801
3.0,3014,2120.056718
-16.0,2031,2167.151228
8.0,2537,2224.260763
-12.0,2468,2282.582409
-13.0,2265,2333.31291
8.0,2904,2400.953951
8.0,2984,2469.138989
-14.0,2446,2525.420386
4.0,3663,2611.450398
-15.0,2628,2672.162267
-14.0,2397,2732.227066
-13.0,2637,2798.499575
-11.0,2868,2868.933965
-10.0,2671,2935.35894
15.0,2750,3002.209403
13.0,2611,3068.138059
15.0,2892,3138.666646
12.0,2881,3211.29698
-11.0,2923,3284.187358
-8.0,3357,3366.915137
15.0,2516,3430.857126
-11.0,2410,3488.607833
14.0,2883,3560.874967
14.0,2989,3634.120719
20.0,2261,3690.856618
-15.0,2506,3751.6854
-3.0,4410,3861.95783
-9.0,3125,3938.161588
14.0,3142,4016.854488
6.0,3749,4109.433713
-8.0,3374,4192.016958
13.0,2832,4263.794762
3.0,3973,4362.03009
16.0,2749,4428.975552
16.0,2893,4501.424953
17.0,2656,4565.434472
15.0,2904,4637.577724
6.0,4291,4744.642945
12.0,2973,4818.1685
14.0,2799,4887.988321
8.0,3715,4979.853207
10.0,3955,5077.847438
6.0,4643,5192.027124
1.0,6016,5340.765577
15.0,2928,5413.768186
12.0,3003,5487.165959
15.0,3584,5575.454056
15.0,2995,5648.9988
14.0,3320,5731.445523
14.0,3062,5807.684589
13.0,3638,5898.89349
13.0,3547,5984.985539
17.0,3308,6067.156821
17.0,2654,6133.531149
15.0,3135,6209.60031
6.0,3964,6307.427087
17.0,3370,6392.364341
9.0,4340,6500.243141
13.0,3106,6576.330235
18.0,2658,6642.643355
19.0,2455,6702.88067
21.0,2349,6760.200483
17.0,3677,6851.945274
18.0,3177,6930.575362
21.0,3166,7007.02231
16.0,3149,7085.889461
18.0,2734,7152.479781
17.0,3603,7241.401269
20.0,2734,7310.192952
19.0,3146,7386.671281
17.0,3279,7468.844949
20.0,2382,7526.258179
18.0,3217,7607.759595
19.0,2371,7665.387299
20.0,2320,7722.597821
21.0,3058,7798.033715
18.0,2489,7858.158022
20.0,3081,7934.509194
17.0,2899,8000.335805
20.0,2317,8056.501027
21.0,3042,8128.600237
10.0,3525,8215.94895
18.0,3050,8289.703262
21.0,3160,8368.968968
15.0,3158,8447.820812
14.0,3408,8531.189653
16.0,3318,8610.286331
21.0,2535,8669.390646
19.0,2383,8727.003759
21.0,2287,8782.281924
19.0,3150,8861.205486
19.0,2874,8931.112713
21.0,3016,9006.591659
20.0,2556,9069.940497
20.0,2260,9126.908226
20.0,2282,9181.604971
20.0,2317,9239.171097
20.0,2791,9308.460997
21.0,2531,9371.461557
21.0,3017,9447.893248
20.0,2345,9505.135427
21.0,2579,9568.782246
20.0,2822,9638.244924
20.0,3109,9714.440248
21.0,3060,9790.330926
21.0,2576,9853.993879
21.0,2953,9926.897493
19.0,3183,10005.706403
20.0,2674,10072.146712
11.0,3694,10163.756907
20.0,2676,10230.155129
20.0,3134,10306.708945
19.0,2250,10362.864413
21.0,3056,10432.698933
20.0,2541,10491.585474
20.0,3094,10562.558397
20.0,3018,10630.614019
21.0,2954,10698.636664
21.0,3015,10768.817068
20.0,3074,10839.83536
21.0,2999,10907.778026
19.0,2951,10974.76302
20.0,3089,11043.237057
19.0,3262,11119.57294
18.0,2734,11181.719795
19.0,2335,11237.26886
20.0,2555,11294.101606
21.0,3043,11364.63028
19.0,3241,11440.573796
