# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.7211177} 
r,l,t
-21.0,821,19.78651
-21.0,907,40.84266
-21.0,785,58.786946
-21.0,1079,83.055501
-21.0,817,103.392048
-20.0,863,124.04341
-21.0,789,142.178186
-21.0,807,160.260823
-21.0,841,180.678631
-20.0,876,199.361387
-20.0,831,219.786123
-21.0,821,238.101369
-21.0,885,258.849488
-21.0,790,276.849841
-21.0,842,297.256037
-21.0,959,318.538242
-19.0,942,341.736989
-20.0,840,360.026172
-20.0,1048,383.937647
-21.0,840,404.365686
-21.0,838,424.67559
-21.0,791,442.718094
-21.0,881,463.456936
-20.0,1042,487.218327
-21.0,820,505.227302
-21.0,877,525.861793
-21.0,917,546.944193
-21.0,925,568.059547
-19.0,1056,592.153032
-21.0,763,610.157857
-20.0,914,633.143603
-20.0,985,654.563444
-21.0,760,672.391624
-20.0,958,695.981506
-19.0,944,717.091332
-21.0,927,738.066877
-19.0,1052,762.047269
-18.0,1169,790.832131
-17.0,1187,817.785694
-21.0,1070,841.903549
-20.0,1244,871.341668
-19.0,1285,900.945652
-19.0,1526,936.554877
-18.0,1333,966.543108
-19.0,1319,996.351116
-18.0,1605,1034.639043
-18.0,1847,1076.190744
-10.0,2029,1123.418485
-13.0,2293,1176.785266
-16.0,1813,1218.469162
-15.0,2139,1268.210658
-9.0,2114,1316.191953
-19.0,1972,1362.820687
-20.0,1400,1395.439385
-20.0,1548,1430.759257
-4.0,2700,1492.742027
-16.0,1770,1534.139639
-17.0,1727,1573.085751
-9.0,2441,1629.137765
-7.0,2859,1696.626615
-18.0,1690,1735.530972
3.0,2906,1801.203114
-13.0,2093,1850.847147
-18.0,1735,1889.807281
-12.0,2258,1942.692721
9.0,2666,2004.619092
-14.0,1849,2046.240081
-2.0,3122,2119.859505
-15.0,2051,2167.111005
-18.0,1553,2202.755711
6.0,3023,2271.280695
-14.0,2015,2318.260451
8.0,2948,2386.234505
-17.0,2026,2433.299563
-15.0,2398,2489.261387
-14.0,2340,2542.858324
10.0,2873,2608.682364
7.0,3176,2684.477976
-10.0,2848,2754.566773
9.0,3425,2840.183461
11.0,3143,2918.900024
8.0,3218,2998.246433
12.0,3054,3074.127771
12.0,2801,3141.770769
-17.0,2118,3195.387333
16.0,2594,3259.126234
15.0,2605,3325.150033
13.0,2818,3395.573907
-15.0,2238,3449.988697
15.0,2547,3513.267686
18.0,2377,3570.822289
-9.0,3085,3649.31068
18.0,2387,3706.926852
-6.0,3391,3792.036232
-2.0,4087,3892.953493
-1.0,4260,3997.729277
15.0,2782,4067.419029
10.0,3623,4156.585819
17.0,2848,4226.365765
13.0,2729,4292.957471
-1.0,4474,4403.788136
15.0,2579,4467.362634
16.0,2666,4533.481411
18.0,2466,4596.265456
-5.0,4543,4707.017125
3.0,4925,4828.251177
6.0,4848,4948.718504
15.0,3216,5028.103466
18.0,2443,5090.53627
15.0,2730,5157.230597
20.0,2383,5214.797045
12.0,3632,5306.020771
16.0,3182,5384.911068
21.0,2350,5442.591866
13.0,3651,5531.732641
12.0,3502,5619.742792
10.0,4102,5721.379733
13.0,3807,5816.406183
18.0,3263,5895.955613
10.0,4097,5997.236476
17.0,3123,6073.58841
15.0,3107,6151.996733
18.0,2406,6209.591523
18.0,2825,6281.304699
20.0,2340,6338.461146
19.0,2936,6411.442136
12.0,3949,6509.61413
15.0,3942,6605.265186
18.0,2649,6671.482578
19.0,2396,6731.381219
20.0,2322,6788.499914
19.0,2485,6849.11934
19.0,3171,6927.707109
19.0,3398,7012.598414
14.0,3970,7110.784808
21.0,3055,7184.0858
19.0,3311,7266.381832
20.0,3269,7348.205557
19.0,2849,7417.948953
21.0,3059,7494.129788
15.0,3353,7576.505487
16.0,3330,7658.921143
17.0,3119,7735.402319
20.0,2869,7807.291326
14.0,3821,7901.32855
19.0,2768,7964.808273
20.0,2318,8018.483774
18.0,3346,8099.304516
19.0,2696,8164.859838
18.0,3211,8244.465548
17.0,2585,8308.189088
18.0,2953,8381.298234
20.0,2813,8451.047258
18.0,3333,8533.83308
17.0,3307,8612.679135
17.0,2790,8675.599767
20.0,3033,8749.782184
20.0,2630,8816.279416
21.0,3084,8892.482125
18.0,2521,8952.99189
20.0,2687,9019.539754
21.0,2574,9082.949851
21.0,3082,9161.476286
21.0,3014,9235.387148
21.0,3055,9311.192945
16.0,3009,9384.410801
21.0,3057,9460.983128
19.0,2825,9530.928004
15.0,3452,9616.078269
21.0,3182,9695.037873
21.0,2960,9768.067981
17.0,2641,9834.285517
20.0,2319,9891.541759
20.0,2322,9948.642233
19.0,2324,10005.546695
20.0,2579,10069.074518
18.0,2377,10128.837484
19.0,2415,10188.766086
16.0,2983,10261.860612
19.0,3043,10337.893861
20.0,2950,10406.134667
16.0,3499,10486.11208
21.0,3016,10556.466979
19.0,2894,10621.687012
