# {"t_start": 1579667593.5519605, "env_id": "PongNoFrameskip-v4"} 
r,l,t
20.0,2317,14583.341508
18.0,3223,14657.240411
21.0,3015,14727.628071
20.0,2546,14786.480105
20.0,2319,14839.551256
21.0,3013,14907.738187
19.0,3219,14982.157645
21.0,2290,15035.067487
20.0,2835,15100.086169
18.0,2618,15161.698298
20.0,2692,15223.792865
21.0,2578,15283.248283
18.0,3273,15357.626171
21.0,2292,15410.836095
21.0,2288,15464.046628
20.0,3073,15534.844813
21.0,3011,15605.654708
21.0,3036,15674.523045
21.0,2292,15725.275084
21.0,3016,15787.741698
21.0,2292,15834.79252
21.0,2581,15887.230807
21.0,2577,15939.427746
16.0,3573,16012.614185
21.0,3217,16078.031611
21.0,2577,16130.140947
20.0,2558,16182.324791
21.0,3010,16244.772209
21.0,2287,16289.658754
21.0,2346,16338.956794
21.0,3009,16399.344672
21.0,3011,16461.821
20.0,2632,16514.598912
15.0,3228,16581.989219
20.0,2585,16634.566629
20.0,3152,16697.705321
19.0,2469,16749.347738
19.0,2793,16804.959322
21.0,3060,16867.387156
21.0,2958,16927.650326
19.0,2449,16979.211902
20.0,2454,17028.835242
21.0,3103,17091.665416
21.0,2574,17144.0128
18.0,2348,17191.255422
20.0,1866,17230.307812
15.0,3134,17293.51538
17.0,2513,17345.542638
21.0,1925,17384.853023
18.0,2117,17428.928637
21.0,1696,17462.998912
17.0,2050,17504.863503
15.0,2412,17554.530625
18.0,2243,17599.428966
21.0,1670,17633.692965
20.0,1969,17673.248778
21.0,1694,17709.239272
18.0,2254,17754.13591
21.0,1904,17793.084376
20.0,1993,17834.952478
19.0,1901,17874.083496
21.0,1695,17908.261531
18.0,2030,17950.126307
21.0,1788,17986.693959
20.0,1835,18023.583695
21.0,1879,18062.481691
21.0,1672,18096.45939
21.0,1695,18130.704399
20.0,1725,18164.885205
21.0,1693,18199.032649
15.0,2244,18245.746374
19.0,1893,18284.990416
21.0,1833,18321.814319
21.0,1834,18358.63502
21.0,1696,18394.507438
21.0,1690,18428.75955
21.0,1787,18465.338431
21.0,1696,18499.510298
21.0,1669,18533.514774
21.0,1692,18567.642948
21.0,1694,18601.755829
17.0,2017,18643.3776
20.0,1810,18679.920667
21.0,1697,18716.109534
18.0,1867,18753.061238
13.0,2521,18805.205381
21.0,1649,18838.974752
21.0,1673,18872.893121
21.0,1671,18906.897947
