# {"t_start": 1579667593.734177, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,912,22.492544
-21.0,777,40.528169
-20.0,901,61.355957
-21.0,839,79.764041
-21.0,790,97.836455
-21.0,817,118.205573
-20.0,831,136.730209
-21.0,822,156.927272
-21.0,942,178.03339
-21.0,878,198.742097
-20.0,917,219.852788
-19.0,998,243.501933
-21.0,974,264.956721
-21.0,792,284.97581
-21.0,776,302.903302
-20.0,917,323.818572
-20.0,838,342.192096
-20.0,1047,366.092316
-19.0,1009,389.746912
-21.0,903,410.580348
-21.0,851,431.011763
-21.0,910,451.97361
-20.0,841,472.394924
-21.0,865,490.760985
-20.0,947,513.761942
-21.0,757,531.537245
-21.0,783,549.588897
-21.0,998,571.211147
-21.0,911,594.300469
-21.0,853,613.004084
-21.0,905,633.807898
-19.0,1216,663.096081
-21.0,877,683.796375
-20.0,975,705.391549
-20.0,1033,729.226847
-18.0,1197,758.336054
-20.0,837,776.528882
-18.0,1292,806.259887
-18.0,1121,832.813532
-20.0,1251,862.307583
-14.0,1827,904.00321
-19.0,1263,933.544303
-17.0,1518,969.025378
-17.0,1474,1001.973483
-16.0,1812,1043.695539
-19.0,1453,1078.484686
-14.0,1891,1120.572374
-20.0,1963,1167.581818
-15.0,2038,1214.886632
-13.0,2183,1265.010866
-20.0,1547,1300.719632
-18.0,1796,1342.028313
-19.0,1577,1377.920899
-18.0,1580,1413.561032
-4.0,2593,1474.731393
-18.0,1870,1516.74462
-9.0,2271,1569.855182
-9.0,2227,1620.283122
-19.0,1767,1661.704638
-16.0,1817,1703.153726
-7.0,2727,1767.936391
4.0,2896,1833.460366
7.0,2461,1889.845702
3.0,2952,1957.892426
5.0,2612,2019.397354
-12.0,2042,2066.539596
3.0,2871,2132.185722
-14.0,2071,2179.635331
-20.0,1334,2211.848331
6.0,2711,2273.910888
-9.0,2845,2338.973136
3.0,3072,2409.889816
2.0,3402,2489.331756
-14.0,2254,2540.05097
6.0,2984,2610.967901
10.0,2980,2680.979245
-12.0,2736,2748.028725
14.0,2676,2814.742906
-16.0,2208,2868.975824
-13.0,2336,2928.389484
-14.0,2540,2989.347181
-10.0,3205,3068.554429
17.0,2460,3131.273972
17.0,2452,3191.977658
11.0,3107,3268.475431
-10.0,2855,3338.56986
-16.0,2303,3396.271069
-13.0,2268,3453.1001
16.0,2403,3513.06111
-11.0,3100,3589.329183
16.0,2708,3656.203018
-16.0,2229,3710.462339
-11.0,2794,3779.942961
19.0,2362,3839.642634
-5.0,3770,3931.558395
16.0,2541,3994.7051
2.0,4226,4099.676615
14.0,2829,4169.446581
19.0,2436,4229.551829
-3.0,3832,4324.441761
-1.0,4643,4438.559802
14.0,2872,4510.765578
11.0,2967,4583.853335
13.0,3197,4662.659552
18.0,2484,4723.043302
11.0,4121,4824.98951
20.0,2360,4884.892528
6.0,3692,4976.641029
19.0,2614,5040.37168
10.0,3541,5128.515402
19.0,2699,5195.094538
14.0,3788,5287.547969
14.0,3558,5375.803338
18.0,2644,5442.392521
12.0,3657,5531.579406
10.0,3696,5623.318722
16.0,2910,5695.959075
10.0,4349,5804.021276
7.0,4302,5909.127058
18.0,2612,5974.958722
15.0,2875,6044.986096
14.0,3591,6133.828956
10.0,3804,6228.040301
15.0,3285,6309.889919
19.0,3050,6385.856905
20.0,2838,6455.830563
18.0,3085,6532.004277
20.0,3011,6605.184273
19.0,2497,6668.064697
19.0,2537,6731.162517
20.0,2339,6788.46404
16.0,3525,6874.493657
20.0,3341,6956.462205
21.0,3015,7031.846642
15.0,3541,7120.21544
20.0,3019,7193.529308
15.0,3153,7272.271046
19.0,3205,7351.420803
20.0,2342,7408.524967
19.0,2401,7468.732095
21.0,2950,7541.459897
20.0,3016,7614.865382
18.0,2954,7687.750722
17.0,3356,7772.363187
18.0,3341,7854.192237
20.0,2849,7922.946968
18.0,3078,7994.137071
20.0,3053,8068.582522
18.0,2369,8122.912787
18.0,2641,8187.559834
17.0,2914,8260.436764
14.0,3530,8346.954726
17.0,3070,8422.980668
18.0,2497,8486.146224
16.0,3199,8565.480305
16.0,3707,8651.301123
21.0,2350,8705.188892
16.0,2892,8778.14127
21.0,3015,8851.647795
21.0,2959,8924.431096
21.0,2578,8987.800544
19.0,3055,9063.71647
19.0,3114,9142.598293
21.0,3161,9219.655314
17.0,3078,9295.749758
21.0,2351,9355.236804
20.0,2556,9418.900731
21.0,2572,9482.540492
21.0,3011,9556.153432
17.0,2653,9622.010432
19.0,3192,9700.991484
21.0,3059,9777.094926
20.0,2576,9840.55574
16.0,3582,9929.317394
20.0,2346,9986.514499
20.0,2642,10052.466193
19.0,2352,10109.818383
19.0,3194,10188.986871
17.0,2701,10255.54811
19.0,2528,10318.761806
17.0,3243,10394.607933
20.0,3018,10464.921523
19.0,2625,10524.388654
16.0,3335,10600.900373
20.0,2655,10662.565007
17.0,3055,10733.361094
20.0,2686,10794.967769
17.0,3284,10869.601309
21.0,2919,10937.083223
21.0,3061,11004.51556
21.0,3043,11075.106173
20.0,2707,11137.125108
21.0,3023,11207.601516
19.0,2722,11269.768742
21.0,3102,11340.643552
21.0,3058,11411.487756
17.0,3310,11487.643245
16.0,2622,11547.329829
21.0,2289,11600.273103
20.0,2326,11653.68641
21.0,2289,11706.692391
19.0,3192,11780.304924
21.0,3095,11851.326943
21.0,2289,11904.288133
18.0,3273,11980.507016
21.0,3061,12051.118952
21.0,3016,12119.800084
21.0,3014,12190.289997
21.0,3061,12261.018886
21.0,2289,12312.021297
21.0,3057,12382.866888
21.0,3011,12453.242697
21.0,3060,12524.023794
21.0,2292,12577.028541
20.0,2697,12638.920777
20.0,2636,12698.367959
19.0,2414,12754.224964
21.0,3100,12825.28315
21.0,3059,12896.156618
21.0,2287,12949.07162
21.0,2292,13002.045077
17.0,2692,13064.183574
21.0,2351,13117.60495
21.0,3000,13187.950536
21.0,2574,13246.978426
21.0,2351,13300.309917
21.0,2574,13359.813385
19.0,3144,13433.17443
21.0,2291,13486.290677
21.0,2287,13537.435575
21.0,3060,13608.413629
21.0,2955,13676.455566
20.0,2316,13729.585257
21.0,2574,13791.026544
18.0,2615,13850.51698
21.0,2581,13909.887266
21.0,2292,13962.672923
21.0,2575,14022.074215
10.0,3677,14107.453847
21.0,2953,14175.513983
21.0,2575,14234.869866
20.0,2261,14287.736646
21.0,2575,14346.851897
21.0,2577,14405.810618
21.0,3058,14476.411382
20.0,2322,14529.661913
21.0,2960,14597.889856
19.0,3205,14671.599538
20.0,2316,14724.828458
21.0,3000,14793.057856
21.0,2577,14854.075011
21.0,2954,14921.849915
20.0,2583,14981.516879
18.0,3080,15052.247788
20.0,2261,15105.093599
20.0,2483,15161.644051
20.0,2387,15217.524222
21.0,2348,15271.116946
18.0,3200,15345.06998
19.0,3106,15416.387011
21.0,2957,15484.510366
21.0,3013,15554.961608
21.0,2579,15614.571446
19.0,3144,15686.085607
19.0,3094,15753.233496
21.0,3016,15813.884799
21.0,2573,15866.422162
21.0,2958,15926.470117
20.0,2286,15973.18558
21.0,2688,16028.291947
21.0,3057,16090.808546
21.0,2352,16137.93714
20.0,2222,16184.457819
21.0,3015,16245.048409
21.0,2578,16297.208121
20.0,3034,16359.903929
21.0,2693,16414.674707
20.0,2347,16462.092272
21.0,2578,16516.437167
21.0,3103,16579.32931
21.0,3009,16640.01467
21.0,3059,16702.59357
21.0,2573,16754.858128
21.0,3059,16817.583818
21.0,3060,16880.0024
21.0,2287,16927.000375
21.0,2920,16986.942652
20.0,2224,17031.481559
21.0,2957,17091.614835
18.0,3124,17154.605405
21.0,1812,17193.132806
19.0,3050,17254.054308
17.0,1986,17295.623646
20.0,1745,17331.965265
17.0,2146,17374.417576
15.0,2232,17420.956808
18.0,2281,17466.024341
21.0,1691,17502.032883
21.0,1693,17536.262478
18.0,1917,17575.586413
21.0,1697,17609.838911
21.0,1717,17646.094975
21.0,1830,17683.044076
19.0,1803,17719.717751
21.0,1690,17753.747977
17.0,2054,17795.528432
21.0,1789,17832.377506
20.0,1935,17871.738474
18.0,2041,17913.567993
21.0,1672,17947.699112
17.0,1973,17989.080454
21.0,2067,18031.061777
21.0,1787,18067.580454
21.0,1990,18107.12977
18.0,1972,18148.501869
21.0,1692,18182.543574
20.0,1746,18216.960836
21.0,1672,18251.195116
21.0,1694,18287.341344
20.0,1746,18321.745017
21.0,1692,18355.831534
21.0,1786,18392.249359
21.0,1818,18431.035084
21.0,1693,18465.156679
21.0,1697,18499.346768
20.0,1667,18533.315385
21.0,1671,18567.301067
20.0,1783,18603.814214
21.0,1695,18637.981567
21.0,1669,18671.832229
15.0,2269,18718.797947
21.0,1697,18752.927262
19.0,1869,18791.925332
17.0,2088,18833.855993
19.0,1909,18872.886931
21.0,1692,18907.004782
21.0,1674,18940.896425
21.0,1655,18974.797226
21.0,1672,19008.796655
19.0,1719,19045.085621
19.0,1759,19079.479269
21.0,1654,19113.319118
20.0,1908,19152.34203
21.0,1671,19186.316878
21.0,1695,19220.209276
21.0,1650,19254.077376
20.0,1765,19290.442597
21.0,1672,19324.723707
20.0,1708,19359.046846
21.0,1673,19393.111984
21.0,1652,19426.915653
21.0,1653,19460.822253
19.0,1761,19497.13118
21.0,1654,19531.136753
21.0,1667,19565.25764
21.0,1672,19599.210902
21.0,1649,19633.182697
20.0,1780,19669.791947
21.0,1672,19703.910504
21.0,1669,19737.985686
21.0,1654,19771.994995
20.0,1720,19806.426225
21.0,1650,19840.173755
20.0,1726,19874.429365
21.0,1650,19908.391876
21.0,1653,19942.486657
15.0,2190,19986.972724
21.0,1675,20020.91255
18.0,2232,20067.554054
21.0,1674,20101.559471
21.0,1672,20135.632872
16.0,2088,20177.60578
20.0,1724,20214.011855
20.0,1817,20250.6629
21.0,1669,20284.616402
21.0,1650,20318.519375
21.0,1651,20352.52012
19.0,1758,20387.157623
21.0,1672,20421.221351
21.0,1673,20455.178499
21.0,1807,20493.555029
21.0,1670,20527.54052
21.0,1655,20561.268291
21.0,1668,20595.46033
21.0,1654,20627.381348
21.0,1667,20661.305711
20.0,1734,20697.627386
18.0,1873,20736.579033
21.0,1651,20768.605785
21.0,1648,20802.502683
21.0,1654,20836.464586
21.0,1674,20870.468812
21.0,1667,20904.434757
14.0,2055,20946.320331
19.0,1759,20982.722871
21.0,1673,21016.81236
21.0,1653,21050.706571
19.0,1765,21087.090209
16.0,2160,21131.794437
21.0,1648,21165.651926
21.0,1655,21197.718583
21.0,1649,21231.734742
21.0,1650,21265.821073
21.0,1675,21299.837641
21.0,1671,21333.879388
21.0,1648,21367.752712
21.0,1651,21401.755032
21.0,1655,21435.915116
21.0,1651,21469.641696
21.0,1673,21503.687023
21.0,1672,21537.796059
21.0,1672,21571.756447
21.0,1648,21605.67102
20.0,1800,21642.276059
19.0,1841,21679.033673
21.0,1649,21713.097118
21.0,1653,21746.962022
21.0,1650,21780.994807
21.0,1671,21814.868833
21.0,1667,21848.89605
21.0,1668,21882.869036
21.0,1673,21916.839228
21.0,1673,21950.902972
21.0,1673,21985.099527
20.0,1743,22021.843863
21.0,1675,22056.094923
20.0,1707,22090.451175
12.0,2499,22142.45273
20.0,1751,22176.99176
19.0,1830,22215.6859
21.0,1649,22247.624953
21.0,1673,22281.651483
21.0,1674,22317.747239
21.0,1652,22350.054211
21.0,1672,22384.091367
19.0,1808,22422.584912
21.0,1673,22456.569958
19.0,1943,22495.930866
21.0,1649,22529.860748
20.0,1731,22564.24669
21.0,1672,22598.389017
21.0,1670,22632.654431
21.0,1669,22666.696771
21.0,1648,22700.514186
21.0,1654,22734.303428
21.0,1651,22768.185117
21.0,1668,22802.109263
18.0,1892,22841.115307
21.0,1653,22874.918359
20.0,1717,22909.506232
21.0,1653,22943.386637
21.0,1671,22977.278294
15.0,1994,23018.839071
21.0,1651,23050.727494
21.0,1654,23084.674759
21.0,1649,23118.675583
20.0,1704,23152.824742
21.0,1671,23186.666433
21.0,1652,23220.717585
18.0,1905,23259.874893
21.0,1823,23296.764193
20.0,1828,23335.121976
20.0,1721,23369.305902
20.0,1744,23405.384324
21.0,1672,23439.383396
21.0,1674,23473.4741
21.0,1654,23507.330811
21.0,1651,23541.470623
21.0,1653,23575.373906
21.0,1672,23609.483829
21.0,1675,23643.487968
21.0,1670,23677.330247
21.0,1671,23711.264384
21.0,1654,23745.493886
21.0,1673,23779.548802
20.0,1718,23814.032541
15.0,2090,23856.001399
21.0,1669,23889.916211
21.0,1675,23925.939694
21.0,1675,23960.05732
21.0,1653,23993.996243
18.0,1837,24030.911449
20.0,1721,24065.259521
21.0,1789,24101.940283
21.0,1670,24136.107402
21.0,1669,24170.118379
13.0,1948,24209.420213
21.0,1673,24245.328985
19.0,1789,24281.778247
21.0,1651,24313.888686
21.0,1670,24347.971595
21.0,1650,24381.87861
21.0,1648,24415.974154
20.0,1724,24452.347502
20.0,1719,24486.555061
21.0,1650,24520.305386
21.0,1675,24554.323472
21.0,1672,24588.494636
21.0,1650,24622.563408
21.0,1670,24656.607585
21.0,1675,24690.596792
21.0,1654,24724.745214
21.0,1653,24758.920602
21.0,1670,24792.720503
21.0,1671,24826.842239
21.0,1654,24860.959763
21.0,1672,24895.00903
21.0,1651,24928.904932
20.0,1883,24966.128545
16.0,2202,25012.792988
21.0,1649,25044.70121
21.0,1651,25078.694576
21.0,1649,25112.514194
21.0,1667,25146.551277
21.0,1671,25180.575455
21.0,1651,25214.519611
16.0,2276,25261.354389
21.0,1653,25295.409711
21.0,1917,25334.895792
21.0,1668,25368.910431
21.0,1668,25402.838493
21.0,1673,25436.829194
21.0,1652,25470.761072
21.0,1669,25504.897395
20.0,1706,25539.202493
21.0,1650,25573.138417
21.0,1667,25607.312982
21.0,1651,25641.387109
21.0,1721,25675.774204
21.0,1671,25709.934061
21.0,1671,25743.913744
21.0,1673,25777.814735
21.0,1650,25811.819498
21.0,1673,25845.824238
21.0,1649,25879.691482
21.0,1650,25913.696869
21.0,1667,25947.630965
18.0,1903,25986.500768
21.0,1654,26020.349318
21.0,1749,26055.066558
21.0,1652,26088.974193
21.0,1648,26122.786079
21.0,1670,26156.781592
21.0,1671,26190.854815
21.0,1653,26225.039887
21.0,1669,26259.127934
21.0,1667,26293.400045
21.0,1651,26327.379518
16.0,2067,26369.196911
19.0,1758,26405.647371
21.0,1675,26439.728695
18.0,1897,26478.898763
21.0,1668,26513.034736
20.0,1842,26550.009708
21.0,1669,26583.898042
21.0,1667,26617.837116
19.0,1755,26654.253377
21.0,1648,26688.117861
20.0,1702,26722.19184
20.0,1725,26758.409494
21.0,1648,26790.49614
21.0,1670,26824.506821
21.0,1650,26858.54774
21.0,1649,26892.432421
21.0,1669,26926.591422
21.0,1671,26960.463934
20.0,1705,26996.547295
20.0,1725,27030.939216
21.0,1654,27064.806183
21.0,1671,27098.884897
21.0,1655,27133.038773
21.0,1651,27167.004248
21.0,1673,27201.199808
20.0,1725,27235.597959
21.0,1648,27269.409721
21.0,1653,27303.180156
21.0,1675,27337.314071
21.0,1652,27371.21948
21.0,1655,27405.043469
21.0,1648,27439.092206
21.0,1654,27473.029033
21.0,1649,27506.909654
21.0,1668,27540.837286
21.0,1650,27572.850143
21.0,1673,27607.050229
21.0,1651,27641.098237
21.0,1672,27675.144895
21.0,1668,27709.290509
21.0,1669,27743.486127
21.0,1675,27779.44561
21.0,1669,27813.402926
21.0,1648,27845.373128
21.0,1673,27879.38476
21.0,1648,27913.336721
21.0,1670,27947.290027
21.0,1674,27981.368456
18.0,1873,28020.615367
21.0,1653,28054.530266
20.0,1702,28088.689465
21.0,1655,28122.777238
21.0,1649,28156.700753
21.0,1652,28190.687101
21.0,1670,28224.703248
21.0,1670,28258.741272
20.0,1840,28295.434397
21.0,1655,28329.620842
21.0,1669,28363.800592
19.0,1736,28400.023856
21.0,1671,28434.232002
16.0,2028,28475.946073
16.0,2266,28520.910742
19.0,1904,28560.005364
21.0,1670,28594.374761
21.0,1650,28628.470036
21.0,1669,28662.388368
21.0,1653,28696.265167
21.0,1653,28730.401093
20.0,1707,28764.580472
21.0,1670,28798.486136
21.0,1671,28832.648176
21.0,1648,28866.686881
21.0,1671,28900.664586
21.0,1654,28934.787389
21.0,1670,28968.763825
7.0,3043,29031.454066
21.0,1671,29065.571228
21.0,1672,29099.68836
21.0,1669,29133.699621
21.0,1650,29168.925435
21.0,1668,29202.955156
20.0,1822,29239.773343
21.0,1673,29273.815215
21.0,1650,29307.646915
20.0,1707,29341.909096
21.0,1650,29375.899215
21.0,1650,29409.740864
21.0,1653,29443.620735
20.0,1795,29480.494414
21.0,1648,29514.572136
21.0,1653,29548.476897
19.0,1797,29586.330848
20.0,1727,29620.711633
21.0,1673,29655.344131
21.0,1649,29691.348984
21.0,1648,29725.197742
21.0,1650,29759.265289
20.0,1714,29793.442914
21.0,1670,29827.632634
21.0,1671,29862.129558
21.0,1669,29897.788767
21.0,1651,29931.976419
21.0,1648,29965.927855
21.0,1648,30000.383121
21.0,1670,30034.744909
21.0,1651,30069.536379
21.0,1669,30103.600971
21.0,1670,30137.676062
21.0,1668,30171.585961
21.0,1672,30205.677651
21.0,1671,30240.4849
21.0,1668,30275.11344
21.0,1649,30311.170321
21.0,1673,30345.304502
21.0,1674,30379.328202
21.0,1648,30413.289693
21.0,1668,30447.066457
21.0,1675,30481.061198
21.0,1648,30515.023167
21.0,1650,30549.078044
19.0,1832,30586.064643
21.0,1648,30620.003002
21.0,1649,30653.938511
21.0,1672,30687.999545
20.0,1825,30725.025371
21.0,1668,30759.059615
21.0,1669,30792.983579
21.0,1673,30827.09265
19.0,1907,30866.220477
20.0,1709,30900.277261
21.0,1690,30937.155357
21.0,1648,30969.797666
20.0,1744,31006.647451
21.0,1650,31040.713232
21.0,1673,31075.619648
21.0,1653,31110.280089
20.0,1738,31144.701512
21.0,1654,31178.64233
21.0,1667,31212.688398
21.0,1653,31247.491333
21.0,1671,31281.944795
21.0,1673,31319.139894
21.0,1652,31354.838899
13.0,2323,31407.333667
21.0,1651,31443.057029
21.0,1648,31476.954571
21.0,1650,31515.410286
21.0,1649,31553.03684
21.0,1672,31591.46128
21.0,1651,31629.969017
21.0,1668,31667.535412
21.0,1652,31701.477276
21.0,1650,31735.300505
21.0,1673,31769.189486
21.0,1751,31803.676895
21.0,1650,31837.617692
21.0,1668,31871.669834
21.0,1651,31908.270515
20.0,1741,31948.421938
21.0,1652,31986.828796
21.0,1648,32023.162385
21.0,1649,32061.498767
19.0,1811,32102.916873
21.0,1651,32141.302304
21.0,1671,32179.928667
21.0,1648,32218.464296
21.0,1653,32256.795379
21.0,1669,32294.795861
21.0,1669,32328.971592
4.0,2701,32385.059872
21.0,1675,32419.267894
21.0,1651,32453.168523
21.0,1669,32487.34285
19.0,2040,32529.260185
21.0,1667,32563.398145
21.0,1675,32598.689746
21.0,1650,32633.063508
21.0,1650,32667.101263
21.0,1673,32701.808189
21.0,1675,32736.716849
21.0,1651,32771.300848
21.0,1653,32805.276344
21.0,1653,32839.931439
21.0,1654,32874.938229
21.0,1675,32910.106846
21.0,1648,32944.223169
21.0,1649,32976.227663
19.0,1830,33014.859944
