# {"t_start": 1579667593.756607, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,789,19.513637
-21.0,777,37.565044
-19.0,1108,61.950222
-21.0,896,82.854011
-20.0,835,103.314923
-20.0,897,124.223021
-20.0,913,145.261278
-21.0,849,165.730991
-21.0,780,183.634891
-20.0,832,202.020827
-19.0,1052,226.124411
-21.0,789,244.138566
-21.0,1008,267.857079
-20.0,903,288.693946
-21.0,882,309.392359
-19.0,1027,333.213578
-21.0,825,353.570647
-20.0,878,374.170465
-21.0,911,395.054853
-21.0,818,413.242766
-21.0,850,433.677759
-19.0,934,454.808632
-20.0,926,475.820591
-20.0,838,496.034194
-20.0,985,517.251927
-21.0,1020,541.215634
-21.0,1032,565.057923
-19.0,978,588.598311
-20.0,1070,613.062925
-20.0,909,633.887178
-19.0,1009,657.506304
-19.0,1122,684.149769
-20.0,928,705.401167
-17.0,1397,737.951083
-20.0,873,758.624323
-19.0,1055,782.445925
-17.0,1272,812.10076
-17.0,1265,841.698507
-20.0,1228,871.022767
-19.0,1253,898.366032
-15.0,1475,933.522249
-14.0,1654,972.014511
-16.0,1826,1013.764222
-13.0,1973,1058.50774
-19.0,2215,1111.04495
-19.0,2097,1158.821875
-18.0,2238,1211.754834
-17.0,1608,1247.699189
-15.0,1670,1286.17649
-12.0,2022,1333.274352
-19.0,1789,1374.664793
-21.0,1362,1404.763137
-12.0,2209,1457.11737
-20.0,1538,1492.454986
-7.0,2669,1554.639968
-4.0,2833,1619.639061
-13.0,2202,1670.29467
-19.0,1750,1709.401104
-4.0,2842,1776.804729
-15.0,2102,1824.405813
5.0,2863,1889.857299
-18.0,1657,1928.168735
-16.0,1971,1975.035514
7.0,2708,2037.063133
-12.0,2113,2085.095101
-13.0,2069,2134.543983
-8.0,2884,2199.987701
8.0,2837,2265.271372
5.0,2854,2330.356268
-11.0,2598,2391.837279
-11.0,2757,2454.281027
5.0,3387,2533.502003
-15.0,2100,2581.398728
-17.0,1790,2623.290967
9.0,3000,2696.664962
-10.0,2904,2767.078536
-13.0,2554,2830.648703
12.0,3018,2906.248891
9.0,3164,2982.918638
-12.0,2584,3048.410991
16.0,2571,3112.212452
12.0,2764,3179.526627
17.0,2600,3243.453871
16.0,2473,3306.352713
-13.0,2510,3367.205489
16.0,2401,3428.023478
17.0,2567,3491.40427
-11.0,2775,3560.618085
14.0,2743,3627.651497
18.0,2661,3694.052783
21.0,2346,3751.384969
13.0,3073,3827.50987
12.0,2986,3902.474313
15.0,2729,3969.303622
-2.0,4294,4074.688319
17.0,2498,4137.540344
16.0,2606,4201.274902
18.0,2474,4263.722138
18.0,2532,4324.803427
5.0,4113,4428.286257
-6.0,3878,4523.492947
14.0,3113,4599.958051
16.0,2972,4672.586482
1.0,4514,4786.098992
17.0,2663,4850.460825
18.0,2403,4910.403666
16.0,2823,4980.194234
14.0,3212,5059.510826
5.0,4568,5173.040797
8.0,4261,5277.768119
10.0,3690,5369.279996
14.0,3099,5445.979546
19.0,2433,5506.088312
17.0,2947,5578.61404
13.0,3394,5664.063752
12.0,4079,5765.490446
17.0,3308,5845.586579
14.0,3461,5931.261762
15.0,2888,6003.474299
21.0,2350,6060.763037
16.0,2752,6129.996446
19.0,2429,6189.870383
17.0,3352,6272.159091
17.0,3461,6357.551527
20.0,2372,6415.299312
19.0,3300,6497.524322
13.0,3696,6589.042933
21.0,3128,6665.571928
18.0,2587,6731.293706
21.0,2350,6788.64228
20.0,2993,6861.884398
20.0,3067,6937.511663
18.0,3454,7022.723926
21.0,2349,7082.270745
18.0,2669,7146.248819
20.0,3082,7224.700634
18.0,2894,7294.633428
16.0,3106,7370.899683
20.0,3185,7449.976049
17.0,3252,7531.653902
18.0,2548,7595.003399
20.0,2708,7661.68123
21.0,2231,7716.06161
9.0,4039,7816.595431
18.0,3083,7891.894315
18.0,3368,7970.417279
18.0,2917,8040.123495
20.0,2379,8096.167582
18.0,2801,8162.302331
18.0,2694,8229.12141
20.0,3093,8305.563206
18.0,3103,8384.260205
17.0,3179,8461.283269
17.0,3063,8537.503808
21.0,2643,8601.102109
21.0,2578,8660.457722
18.0,2496,8720.58427
21.0,3150,8797.785917
21.0,3011,8873.436602
20.0,2689,8939.734872
21.0,2288,8996.41465
21.0,2572,9059.844507
21.0,2291,9114.976936
20.0,2320,9174.277499
20.0,3026,9248.30372
19.0,2478,9310.846376
21.0,2574,9374.12664
21.0,3012,9448.321165
21.0,2579,9511.692585
19.0,2407,9571.903377
17.0,2980,9644.750169
19.0,3113,9723.215522
19.0,3193,9802.388469
18.0,2763,9869.622378
20.0,2674,9935.921571
20.0,2321,9992.969078
10.0,3986,10091.179293
16.0,3319,10173.39437
20.0,2559,10236.70202
19.0,2637,10302.816836
19.0,2356,10359.934165
19.0,2745,10423.498093
21.0,3100,10494.577635
16.0,3269,10568.787618
20.0,2553,10627.504332
21.0,2352,10683.054693
11.0,3641,10765.879828
18.0,2406,10821.812701
18.0,3226,10895.654337
21.0,2573,10954.659364
21.0,3149,11024.622762
19.0,2547,11083.689359
17.0,3192,11155.283981
19.0,3069,11226.213679
21.0,2646,11287.701122
21.0,2579,11346.794662
19.0,2647,11408.501203
21.0,3101,11479.14039
19.0,2336,11532.636098
18.0,3353,11611.662865
21.0,3011,11680.021783
20.0,2264,11732.877554
19.0,3147,11804.062601
21.0,3061,11874.86688
21.0,3012,11945.26432
21.0,2954,12013.099472
19.0,3184,12086.662082
17.0,3556,12167.261069
20.0,2458,12225.653307
21.0,3014,12293.939972
21.0,2292,12347.094754
20.0,3006,12415.468364
17.0,2982,12485.729779
21.0,3102,12556.619934
19.0,2441,12612.829906
21.0,2350,12666.12064
14.0,3005,12736.358373
19.0,2560,12795.442449
21.0,2292,12848.401726
21.0,2575,12907.607613
21.0,3056,12978.362287
21.0,3014,13046.650736
20.0,3102,13117.758869
19.0,2356,13173.230352
20.0,3071,13244.056294
18.0,3185,13317.677022
21.0,3016,13386.473285
21.0,3009,13456.819409
21.0,2959,13524.852951
19.0,2517,13581.662775
