# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.8696647} 
r,l,t
-19.0,1014,23.179015
-21.0,944,46.462348
-20.0,840,64.814266
-20.0,958,88.260435
-19.0,1097,112.678074
-21.0,781,130.793804
-21.0,818,150.98648
-21.0,908,171.845462
-20.0,838,190.201685
-21.0,820,210.650033
-21.0,1078,234.789977
-21.0,1062,258.9819
-21.0,851,279.488115
-20.0,843,299.906199
-20.0,961,321.158323
-18.0,1342,353.409134
-21.0,959,374.603748
-21.0,911,395.479078
-21.0,957,418.736394
-21.0,791,436.740939
-21.0,789,454.782744
-21.0,1085,478.916896
-21.0,941,501.922842
-21.0,870,522.416943
-20.0,984,544.026631
-20.0,920,565.033644
-21.0,843,585.477209
-20.0,1052,609.779188
-20.0,1006,633.429291
-18.0,1196,660.490141
-21.0,1002,684.190311
-21.0,782,702.329839
-16.0,1254,731.837804
-19.0,1050,755.796078
-17.0,1468,790.834203
-19.0,1226,818.062301
-20.0,1049,842.043006
-14.0,1674,880.744121
-20.0,1259,910.113551
-18.0,1639,948.707985
-18.0,1542,984.113689
-16.0,1736,1025.328834
-19.0,1551,1060.810185
-17.0,1829,1102.475497
-19.0,2017,1149.554775
-19.0,1797,1191.243026
-11.0,2457,1247.528974
-12.0,2157,1297.647111
-8.0,2269,1350.540045
-20.0,1558,1386.35352
-16.0,1913,1430.389543
-11.0,2208,1480.724424
-8.0,2324,1534.252398
-19.0,1799,1575.693833
-20.0,1688,1614.104692
-20.0,1632,1652.456024
-5.0,2828,1717.743106
-4.0,2711,1780.173358
1.0,2860,1847.468899
2.0,3264,1921.869056
-14.0,1971,1966.592089
-17.0,1482,2001.659413
2.0,3218,2075.594915
-12.0,2212,2126.257697
6.0,2705,2188.448569
5.0,2892,2256.240986
5.0,3046,2326.748638
-8.0,2973,2394.909414
2.0,3508,2474.99376
-13.0,2267,2527.881497
6.0,3338,2605.478371
-12.0,2575,2665.38583
7.0,3216,2744.850722
-12.0,2652,2811.418206
12.0,2880,2883.920341
13.0,2994,2957.269686
-11.0,2797,3026.545829
-12.0,2790,3096.173508
-10.0,2876,3166.467005
11.0,2858,3236.805354
-8.0,3336,3319.438642
17.0,2620,3385.726701
18.0,2453,3446.623565
-12.0,2469,3507.075619
18.0,2309,3564.170648
13.0,2797,3633.712894
12.0,3034,3709.656206
14.0,2668,3776.015409
20.0,2343,3833.368868
17.0,2578,3896.425741
11.0,3014,3972.038708
15.0,2798,4039.613944
-3.0,4555,4153.371846
20.0,2260,4210.055457
16.0,2637,4273.667077
19.0,2497,4336.667875
15.0,2554,4399.871687
17.0,2616,4463.608965
-5.0,3866,4558.679911
-2.0,4796,4678.210476
17.0,2547,4741.180556
12.0,3334,4824.116467
-2.0,4135,4925.982321
10.0,4119,5027.593209
18.0,2616,5093.533148
14.0,3209,5172.605296
17.0,2882,5242.699334
14.0,3051,5318.603905
10.0,3658,5407.941738
9.0,3747,5502.388229
10.0,4142,5603.72728
21.0,2349,5661.457109
17.0,2585,5727.249261
8.0,4636,5841.765603
19.0,2473,5902.237389
17.0,2524,5965.331148
21.0,2349,6022.604356
13.0,3507,6108.449243
6.0,3906,6205.756038
16.0,3272,6287.452468
19.0,3622,6376.454152
19.0,2523,6439.515005
20.0,3042,6513.348898
19.0,2433,6573.397311
21.0,2308,6630.508606
18.0,2427,6690.598882
17.0,3702,6782.289175
19.0,3107,6858.604723
20.0,2810,6927.882439
19.0,3274,7009.601161
21.0,2349,7066.75091
20.0,2873,7139.019482
16.0,3536,7225.278434
20.0,3097,7301.1434
21.0,2978,7376.482729
16.0,3623,7465.51339
20.0,3221,7544.719714
17.0,2563,7608.110906
19.0,3297,7690.219061
20.0,3135,7766.583707
14.0,3507,7854.000935
19.0,3089,7928.597491
18.0,3322,8005.648395
20.0,3078,8080.917881
21.0,3014,8149.548837
18.0,3098,8228.329992
18.0,2814,8298.183877
16.0,2641,8362.455105
18.0,3182,8441.537199
16.0,3649,8531.152131
19.0,3152,8606.963642
17.0,2777,8671.872659
17.0,2630,8733.798845
20.0,2616,8800.372717
19.0,2364,8857.874635
19.0,2734,8924.527482
21.0,2574,8990.079891
21.0,3061,9063.867597
21.0,3054,9140.04216
19.0,2540,9203.497931
13.0,3534,9291.988912
20.0,2804,9361.400766
19.0,3186,9441.243519
20.0,2321,9498.256625
21.0,2959,9571.431377
19.0,3064,9647.149523
21.0,3163,9723.772733
19.0,2381,9783.500487
19.0,2735,9850.532874
21.0,2573,9914.03
20.0,3141,9992.594592
21.0,2476,10052.91374
19.0,2872,10125.268313
16.0,3319,10207.417303
11.0,3613,10296.306885
19.0,2420,10356.128479
21.0,3012,10423.931931
20.0,2405,10479.87997
19.0,3146,10553.217858
20.0,2281,10603.846248
21.0,2288,10656.756847
17.0,2967,10724.878725
20.0,3067,10795.380366
21.0,2953,10863.571652
21.0,2346,10918.797462
20.0,3098,10987.250572
21.0,2858,11051.661379
21.0,3059,11122.358359
18.0,3213,11196.058666
21.0,3010,11266.484943
20.0,3152,11337.739849
21.0,3057,11408.586889
21.0,2574,11467.348273
19.0,3132,11540.73659
16.0,3387,11618.085562
21.0,2973,11686.006891
21.0,2582,11745.137153
21.0,3012,11815.640257
20.0,2645,11877.240291
9.0,3278,11951.481793
19.0,2656,12013.181042
19.0,3041,12083.692759
18.0,2628,12143.401655
21.0,3012,12213.856162
21.0,2576,12272.945323
14.0,3720,12358.813778
21.0,3014,12427.165857
21.0,3016,12497.723431
20.0,2734,12559.844253
21.0,3009,12630.185413
21.0,2576,12689.146342
